StudentID,GPA,SleepHours,SocialMediaHours,ExerciseHours,StudyHours,PartTimeJob,Major,Year,Device
1,2.75,6,5,0,3,No,Business,Freshman,Desktop
2,3.9,4,3,0,6,No,Business,Senior,Tablet
3,3.46,8,6,0,2,No,STEM,Senior,Tablet
4,3.2,9,5,3,5,Yes,STEM,Junior,Laptop
5,2.31,6,1,3,4,Yes,Social Science,Junior,Phone
6,2.31,5,0,2,5,Yes,STEM,Senior,Tablet
7,2.12,6,1,2,5,No,STEM,Senior,Desktop
8,3.73,6,1,1,7,No,Social Science,Senior,Phone
9,3.2,5,0,3,6,Yes,Arts,Sophomore,Desktop
10,3.42,7,0,0,3,No,Arts,Senior,Desktop
11,2.04,7,2,0,4,No,STEM,Sophomore,Tablet
12,3.94,4,5,1,2,No,Social Science,Sophomore,Tablet
13,3.66,4,6,0,3,Yes,Arts,Senior,Laptop
14,2.42,7,2,1,2,No,Social Science,Freshman,Desktop
15,2.36,9,0,2,1,Yes,STEM,Freshman,Tablet
16,2.37,8,3,3,5,No,STEM,Junior,Laptop
17,2.61,6,6,1,1,Yes,Social Science,Senior,Phone
18,3.05,8,3,0,7,No,Business,Junior,Laptop
19,2.86,6,1,1,5,No,STEM,Senior,Laptop
20,2.58,7,4,2,6,Yes,STEM,Junior,Desktop
21,3.22,4,1,0,3,Yes,STEM,Sophomore,Phone
22,2.28,9,1,2,2,No,STEM,Senior,Desktop
23,2.58,4,4,2,7,No,Social Science,Freshman,Desktop
24,2.73,8,5,1,6,No,Social Science,Senior,Laptop
25,2.91,4,0,2,2,Yes,Social Science,Junior,Laptop
26,3.57,7,3,0,3,Yes,Social Science,Junior,Tablet
27,2.4,9,1,2,4,No,Business,Junior,Laptop
28,3.03,8,4,2,7,Yes,Social Science,Junior,Tablet
29,3.18,9,2,1,1,No,Social Science,Junior,Desktop
30,2.09,6,1,2,1,Yes,STEM,Junior,Laptop
31,3.22,4,3,3,2,No,Business,Freshman,Phone
32,2.34,9,0,1,2,Yes,STEM,Junior,Phone
33,2.13,5,1,1,2,Yes,Business,Freshman,Desktop
34,3.9,4,1,0,7,No,Arts,Senior,Desktop
35,3.93,6,5,0,3,No,Business,Sophomore,Laptop
36,3.62,9,7,0,4,Yes,Business,Freshman,Tablet
37,2.61,8,4,0,1,Yes,STEM,Senior,Laptop
38,2.2,6,2,3,6,Yes,Business,Sophomore,Tablet
39,3.37,5,2,1,5,No,Business,Freshman,Laptop
40,2.88,9,6,2,7,No,STEM,Freshman,Phone
41,2.24,7,0,0,7,Yes,Arts,Senior,Phone
42,2.99,4,6,0,3,No,Arts,Junior,Tablet
43,2.07,8,3,0,1,No,Arts,Freshman,Laptop
44,3.82,7,0,2,4,No,Business,Freshman,Desktop
45,2.52,9,1,0,3,No,STEM,Senior,Tablet
46,3.33,9,7,2,6,Yes,Arts,Junior,Phone
47,2.62,6,1,1,1,Yes,Arts,Sophomore,Tablet
48,3.04,9,2,1,3,Yes,Arts,Junior,Laptop
49,3.09,8,3,1,1,No,Arts,Junior,Desktop
50,2.37,7,4,3,1,No,STEM,Senior,Desktop
51,3.94,8,3,2,7,No,Arts,Junior,Tablet
52,3.55,5,1,0,4,Yes,Business,Senior,Laptop
53,3.88,5,4,0,7,No,Business,Sophomore,Laptop
54,3.79,4,3,0,5,Yes,STEM,Freshman,Desktop
55,3.2,4,7,0,4,Yes,Social Science,Freshman,Phone
56,3.84,5,7,3,1,No,Arts,Senior,Laptop
57,2.18,9,3,0,3,Yes,Arts,Senior,Desktop
58,2.39,8,4,3,6,Yes,Business,Junior,Desktop
59,2.09,5,1,2,4,No,STEM,Junior,Laptop
60,2.65,4,3,1,5,Yes,Social Science,Freshman,Laptop
61,2.78,5,4,0,1,Yes,Business,Freshman,Tablet
62,2.54,9,5,1,6,Yes,Social Science,Freshman,Phone
63,3.66,5,7,2,4,No,STEM,Senior,Tablet
64,2.71,8,5,2,7,No,STEM,Sophomore,Tablet
65,2.56,7,1,0,7,Yes,STEM,Sophomore,Desktop
66,3.09,9,4,2,4,No,Business,Senior,Desktop
67,2.28,4,5,1,4,Yes,STEM,Junior,Phone
68,3.6,8,4,0,4,No,Business,Sophomore,Tablet
